Calc. No.;Mgmt. dept. CD;Mgmt. dept. name;YM;LVL;Target item CD;Item CD;Item name;Item type name;Unit;Qty.;[STD]Qty.;Total;[STD]Total;Variable Cost;[STD]Variable Cost;Labour Cost;[STD]Labour Cost;Depreciation;[STD]Depreciation;Repair Maintenance;[STD]Repair Maintenance;Overhead Cost;[STD]Overhead Cost;Retur Cost;[STD]Retur Cost
BL572;2201;;2023/03/01 00:00;4;124000012;121000044;;;;422.9180456;0;56.42652918;0;56.42652918;0;0;0;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;4;124000012;121000045;;;;2.84669621;0;1.02759263;0;1.02759263;0;0;0;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;4;124000012;121000066;;;;38.20082661;0;6.62488094;0;6.62488094;0;0;0;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;4;124000012;121000230;;;;935.2315352;0;154.1231362;0;154.1231362;0;0;0;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;4;124000012;121001157;;;;80.94718427;0;53.33091586;0;53.33091586;0;0;0;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;4;124000012;201000005;;;;4067494.601;0;322.430297;0;322.430297;0;0;0;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;4;124000012;201000006;;;;435.656552;0;61.16133104;0;61.16133104;0;0;0;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;4;124000012;201000058;;;;3405.215991;0;82.22006382;0;82.22006382;0;0;0;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;4;124000012;201000059;;;;1065.169862;0;6.12116904;0;6.12116904;0;0;0;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;3;124000012;211000064;;;;148387.9888;0;19437.28604;0;10648.99945;0;2044.117333;0;3734.76575;0;2076.429173;0;932.9743294;0;0;0
BL572;2201;;2023/03/01 00:00;4;124000012;121000006;;;;70.28729476;0;327.2009289;0;327.2009289;0;0;0;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;4;124000012;121000043;;;;336.0611281;0;789.4017995;0;789.4017995;0;0;0;0;0;0;0;0;0;0;0
